1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.8,0.45,0.51,0.53,0.34,0.31,1.0
0.8,0.45,0.51,0.53,0.34,0.31,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.82,0.93,0.97,0.61,0.57,1.0
1.0,0.82,0.93,0.97,0.61,0.57,1.0
1.0,0.82,0.93,0.97,0.61,0.57,1.0
0.19,0.16,0.19,0.19,0.12,0.19,0.19
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.31,0.3,0.35,0.35,0.22,0.2,0.26
0.19,0.16,0.18,0.19,0.12,0.11,0.19
0.19,0.16,0.19,0.19,0.12,0.19,0.19
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.31,0.3,0.35,0.35,0.22,0.2,0.26
0.19,0.16,0.18,0.19,0.12,0.11,0.19
0.19,0.16,0.18,0.19,0.12,0.11,0.19
0.19,0.16,0.19,0.19,0.12,0.19,0.19
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.09,0.1,0.1,0.06,0.1,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.55,0.47,0.55,0.55,0.35,0.55,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
1.0,0.85,1.0,1.0,0.64,1.0,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.1,0.09,0.1,0.1,0.06,0.06,0.1
0.1,0.09,0.1,0.1,0.06,0.1,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.55,0.47,0.54,0.55,0.35,0.32,0.55
0.55,0.47,0.55,0.55,0.35,0.55,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.1,0.09,0.1,0.1,0.06,0.06,0.1
0.1,0.09,0.1,0.1,0.06,0.06,0.1
0.1,0.09,0.1,0.1,0.06,0.1,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.01,0.01,0.01,0.01,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.08,0.01,0.0,0.01,0.0,0.0,0.1
0.55,0.47,0.54,0.55,0.35,0.32,0.55
0.55,0.47,0.54,0.55,0.35,0.32,0.55
0.55,0.47,0.55,0.55,0.35,0.55,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.06,0.05,0.07,0.04,0.04,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
0.44,0.03,0.03,0.04,0.02,0.02,0.55
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,0.98,1.0,0.64,0.58,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.11,0.09,0.12,0.07,0.07,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.8,0.06,0.05,0.06,0.04,0.04,1.0
0.1,0.09,0.1,0.1,0.06,0.1,0.1
0.08,0.05,0.05,0.05,0.03,0.03,0.1
0.55,0.47,0.55,0.55,0.35,0.55,0.55
0.44,0.25,0.28,0.29,0.19,0.17,0.55
1.0,0.85,1.0,1.0,0.64,1.0,1.0
0.8,0.45,0.51,0.53,0.34,0.31,1.0
0.1,0.09,0.1,0.1,0.06,0.06,0.1
0.1,0.09,0.1,0.1,0.06,0.1,0.1
0.08,0.05,0.05,0.05,0.03,0.03,0.1
0.08,0.05,0.05,0.05,0.03,0.03,0.1
